tipo,processos,threads,tempo
seq,1,1,24505.006790
seq,1,1,24580.294132
seq,1,1,24475.879431
seq,1,1,24451.589108
seq,1,1,24449.499607
seq,1,1,24423.271418
seq,1,1,24444.202185
seq,1,1,24363.678694
seq,1,1,24447.378874
seq,1,1,24518.041611
seq,1,1,24393.087387
seq,1,1,24393.252611
seq,1,1,24398.650408
seq,1,1,24382.859230
seq,1,1,24400.200129
pth,1,8,3820.569038
pth,1,8,3846.089363
pth,1,8,3827.385187
pth,1,8,3800.925255
pth,1,8,3525.362968
pth,1,8,3799.340010
pth,1,8,3897.153854
pth,1,8,3794.843674
pth,1,8,3801.619053
pth,1,8,3787.210226
pth,1,8,3805.421352
pth,1,8,3529.376030
pth,1,8,3778.799772
pth,1,8,3566.738129
pth,1,8,3834.632635
omp,1,8,3597.479343
omp,1,8,3694.604874
omp,1,8,3565.922737
omp,1,8,3553.384066
omp,1,8,3548.777103
omp,1,8,3559.551001
omp,1,8,3538.418055
omp,1,8,3518.874645
omp,1,8,3584.414721
omp,1,8,3595.959425
omp,1,8,3631.876230
omp,1,8,3553.166866
omp,1,8,3586.848259
omp,1,8,3886.369228
omp,1,8,3559.374332
mpi,16,1,2159.054041
mpi,16,1,1891.880274
mpi,16,1,2123.662472
mpi,16,1,2163.932323
mpi,16,1,1921.940804
mpi,16,1,1867.893219
mpi,16,1,2166.474342
mpi,16,1,1877.278805
mpi,16,1,1875.459671
mpi,16,1,2166.508675
mpi,16,1,1869.475842
mpi,16,1,2172.416210
mpi,16,1,2179.382324
mpi,16,1,1903.945684
mpi,16,1,1933.919668
mpi_pth,4,8,1319.111347
mpi_pth,4,8,1267.934561
mpi_pth,4,8,1330.219030
mpi_pth,4,8,1236.474276
mpi_pth,4,8,1295.062780
mpi_pth,4,8,1383.114576
mpi_pth,4,8,1273.359299
mpi_pth,4,8,1275.407076
mpi_pth,4,8,1354.521990
mpi_pth,4,8,1530.517101
mpi_pth,4,8,1543.931484
mpi_pth,4,8,1517.980099
mpi_pth,4,8,1532.465458
mpi_pth,4,8,1302.137613
mpi_pth,4,8,1561.239004
mpi_omp,4,8,1265.983582
mpi_omp,4,8,1264.610291
mpi_omp,4,8,1283.075333
mpi_omp,4,8,1340.621233
mpi_omp,4,8,1495.940208
mpi_omp,4,8,1248.941660
mpi_omp,4,8,1336.862564
mpi_omp,4,8,1284.381866
mpi_omp,4,8,1532.587528
mpi_omp,4,8,1265.039444
mpi_omp,4,8,1288.047075
mpi_omp,4,8,1485.781431
mpi_omp,4,8,1229.299307
mpi_omp,4,8,1194.517851
mpi_omp,4,8,1279.103994
